epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
54,1222.8,0.90963,0.67504,1.08863,0.89418,0.8502,0.92614,0.76498,0.68939,0.51089,0.97799,0.000528058,0.000528058,0.000528058
55,1244.52,0.88926,0.68275,1.08598,0.82869,0.90772,0.91554,0.76892,0.66024,0.4978,0.95538,0.000517059,0.000517059,0.000517059
56,1267.18,0.88584,0.65569,1.07986,0.83899,0.91854,0.9142,0.77204,0.6482,0.49119,0.94543,0.00050606,0.00050606,0.00050606
57,1289.87,0.87754,0.65142,1.07322,0.78197,0.9515,0.90954,0.77367,0.64347,0.52943,0.94493,0.000495062,0.000495062,0.000495062
58,1312,0.85888,0.63899,1.07069,0.78207,0.9094,0.94497,0.79805,0.65466,0.52679,0.96142,0.000484063,0.000484063,0.000484063
59,1334.63,0.86281,0.65618,1.07761,0.81398,0.87929,0.91719,0.78012,0.67996,0.50789,0.97299,0.000473064,0.000473064,0.000473064
60,1357.52,0.85209,0.62649,1.0658,0.86469,0.93193,0.92958,0.77895,0.65914,0.46574,0.96523,0.000462065,0.000462065,0.000462065
61,1380.16,0.83924,0.63129,1.06059,0.85713,0.83876,0.90492,0.76981,0.64334,0.49898,0.95078,0.000451066,0.000451066,0.000451066
62,1402.95,0.84256,0.62214,1.06944,0.81108,0.92394,0.93,0.80417,0.63034,0.47783,0.94355,0.000440067,0.000440067,0.000440067
63,1425.96,0.83067,0.59939,1.05424,0.78301,0.9137,0.89628,0.76287,0.65169,0.52102,0.96852,0.000429068,0.000429068,0.000429068
64,1448.53,0.84446,0.61427,1.06426,0.82564,0.85044,0.90118,0.77698,0.63151,0.49362,0.94536,0.000418069,0.000418069,0.000418069
65,1470.72,0.84024,0.60742,1.06138,0.81554,0.91771,0.91875,0.7864,0.64986,0.4903,0.95357,0.00040707,0.00040707,0.00040707
66,1493.65,0.82027,0.59634,1.04528,0.84884,0.89551,0.92374,0.77002,0.68551,0.50996,0.97575,0.000396071,0.000396071,0.000396071
67,1516.34,0.82527,0.59813,1.05544,0.81552,0.89697,0.93138,0.78616,0.67566,0.52112,0.97309,0.000385073,0.000385073,0.000385073
68,1538.3,0.81908,0.58447,1.05101,0.83211,0.8153,0.91102,0.77825,0.6293,0.53714,0.94964,0.000374074,0.000374074,0.000374074
69,1561.37,0.81946,0.57618,1.05377,0.84845,0.85651,0.93933,0.79571,0.66568,0.52184,0.96071,0.000363075,0.000363075,0.000363075
70,1584.18,0.80514,0.58551,1.0454,0.7769,0.93689,0.92526,0.7891,0.63373,0.48682,0.94239,0.000352076,0.000352076,0.000352076
71,1607.07,0.80426,0.56378,1.03751,0.85916,0.86536,0.92756,0.78797,0.63271,0.50368,0.95068,0.000341077,0.000341077,0.000341077
72,1629.12,0.79313,0.56131,1.0404,0.8489,0.91273,0.90839,0.78161,0.61872,0.48866,0.95061,0.000330078,0.000330078,0.000330078
73,1651.79,0.77697,0.56386,1.03547,0.90444,0.91087,0.95669,0.81872,0.65215,0.44331,0.9615,0.000319079,0.000319079,0.000319079
74,1674.69,0.79208,0.55684,1.0402,0.84583,0.90337,0.9466,0.81597,0.62467,0.48384,0.94191,0.00030808,0.00030808,0.00030808
75,1696.6,0.79415,0.56147,1.0367,0.83673,0.91745,0.94061,0.79438,0.66657,0.51563,0.96359,0.000297081,0.000297081,0.000297081
76,1719.08,0.78203,0.54298,1.03133,0.77905,0.95214,0.94353,0.81442,0.63113,0.47152,0.94409,0.000286083,0.000286083,0.000286083
77,1741.94,0.7739,0.535,1.02696,0.83353,0.8354,0.91305,0.77889,0.6638,0.52096,0.96805,0.000275084,0.000275084,0.000275084
78,1764.2,0.7595,0.54177,1.01683,0.83843,0.96111,0.94333,0.81021,0.63835,0.46001,0.94712,0.000264085,0.000264085,0.000264085
79,1786.91,0.75614,0.52773,1.0072,0.81019,0.93655,0.92363,0.78458,0.64626,0.49749,0.96168,0.000253086,0.000253086,0.000253086
80,1809.83,0.74611,0.51425,1.01556,0.86178,0.94633,0.94118,0.80724,0.62244,0.43578,0.94984,0.000242087,0.000242087,0.000242087
